venue,full_date,match_start_time_estimated,segment_start_time_estimated,gender,batting_team,bowling_team,over_range,total_runs,latitude,longitude,temperature_C,humidity_%,wind_speed_kmh,precip_mm,pressure_hPa
Sheikh Zayed Stadium,2010-10-29,10:00,12:15,male,Pakistan,South Africa,31-40,34,24.4161287,54.45363,NA,NA,NA,NA,NA
Sheikh Zayed Stadium,2010-10-29,10:00,13:00,male,Pakistan,South Africa,41-50,29,24.4161287,54.45363,NA,NA,NA,NA,NA
Sheikh Zayed Stadium,2010-10-29,10:00,10:00,male,South Africa,Pakistan,1-10,55,24.4161287,54.45363,NA,NA,NA,NA,NA
Sheikh Zayed Stadium,2010-10-29,10:00,10:45,male,South Africa,Pakistan,11-20,50,24.4161287,54.45363,NA,NA,NA,NA,NA
Sheikh Zayed Stadium,2010-10-29,10:00,11:30,male,South Africa,Pakistan,21-30,51,24.4161287,54.45363,NA,NA,NA,NA,NA
Sheikh Zayed Stadium,2010-10-29,10:00,12:15,male,South Africa,Pakistan,31-40,51,24.4161287,54.45363,NA,NA,NA,NA,NA
"Seddon Park, Hamilton",2025-04-02,10:00,10:00,male,New Zealand,Pakistan,1-10,72,-37.7867613,175.2742998,NA,NA,NA,NA,NA
"Seddon Park, Hamilton",2025-04-02,10:00,10:45,male,New Zealand,Pakistan,11-20,35,-37.7867613,175.2742998,NA,NA,NA,NA,NA
"Seddon Park, Hamilton",2025-04-02,10:00,11:30,male,New Zealand,Pakistan,21-30,38,-37.7867613,175.2742998,NA,NA,NA,NA,NA
"Seddon Park, Hamilton",2025-04-02,10:00,12:15,male,New Zealand,Pakistan,31-40,65,-37.7867613,175.2742998,NA,NA,NA,NA,NA
"Seddon Park, Hamilton",2025-04-02,10:00,13:00,male,New Zealand,Pakistan,41-50,82,-37.7867613,175.2742998,NA,NA,NA,NA,NA
"Seddon Park, Hamilton",2025-04-02,10:00,10:00,male,Pakistan,New Zealand,1-10,28,-37.7867613,175.2742998,NA,NA,NA,NA,NA
"Seddon Park, Hamilton",2025-04-02,10:00,10:45,male,Pakistan,New Zealand,11-20,35,-37.7867613,175.2742998,NA,NA,NA,NA,NA
