venue,full_date,match_start_time_estimated,segment_start_time_estimated,gender,batting_team,bowling_team,over_range,total_runs
Western Australia Cricket Association Ground,2014-11-14,13:00,13:45,male,South Africa,Australia,11-20,56
Western Australia Cricket Association Ground,2014-11-14,13:00,14:30,male,South Africa,Australia,21-30,64
Western Australia Cricket Association Ground,2014-11-14,13:00,15:15,male,South Africa,Australia,31-40,50
Western Australia Cricket Association Ground,2014-11-14,13:00,16:00,male,South Africa,Australia,41-50,53
"MA Chidambaram Stadium, Chepauk",2011-03-20,10:00,10:00,male,India,West Indies,1-10,53
"MA Chidambaram Stadium, Chepauk",2011-03-20,10:00,10:45,male,India,West Indies,11-20,44
"MA Chidambaram Stadium, Chepauk",2011-03-20,10:00,11:30,male,India,West Indies,21-30,63
"MA Chidambaram Stadium, Chepauk",2011-03-20,10:00,12:15,male,India,West Indies,31-40,52
"MA Chidambaram Stadium, Chepauk",2011-03-20,10:00,13:00,male,India,West Indies,41-50,56
"MA Chidambaram Stadium, Chepauk",2011-03-20,10:00,10:00,male,West Indies,India,1-10,46
"MA Chidambaram Stadium, Chepauk",2011-03-20,10:00,10:45,male,West Indies,India,11-20,61
"MA Chidambaram Stadium, Chepauk",2011-03-20,10:00,11:30,male,West Indies,India,21-30,47
"MA Chidambaram Stadium, Chepauk",2011-03-20,10:00,12:15,male,West Indies,India,31-40,25
"MA Chidambaram Stadium, Chepauk",2011-03-20,10:00,13:00,male,West Indies,India,41-50,9
The Rose Bowl,2009-09-09,10:00,10:00,male,England,Australia,1-10,43
The Rose Bowl,2009-09-09,10:00,10:45,male,England,Australia,11-20,44
The Rose Bowl,2009-09-09,10:00,11:30,male,England,Australia,21-30,40
The Rose Bowl,2009-09-09,10:00,12:15,male,England,Australia,31-40,45
The Rose Bowl,2009-09-09,10:00,13:00,male,England,Australia,41-50,56
The Rose Bowl,2009-09-09,10:00,10:00,male,Australia,England,1-10,29
The Rose Bowl,2009-09-09,10:00,10:45,male,Australia,England,11-20,50
The Rose Bowl,2009-09-09,10:00,11:30,male,Australia,England,21-30,36
The Rose Bowl,2009-09-09,10:00,12:15,male,Australia,England,31-40,48
The Rose Bowl,2009-09-09,10:00,13:00,male,Australia,England,41-50,67
Kennington Oval,2017-06-08,10:00,10:00,male,India,Sri Lanka,1-10,48
Kennington Oval,2017-06-08,10:00,10:45,male,India,Sri Lanka,11-20,59
Kennington Oval,2017-06-08,10:00,11:30,male,India,Sri Lanka,21-30,62
Kennington Oval,2017-06-08,10:00,12:15,male,India,Sri Lanka,31-40,49
Kennington Oval,2017-06-08,10:00,13:00,male,India,Sri Lanka,41-50,103
Kennington Oval,2017-06-08,10:00,10:00,male,Sri Lanka,India,1-10,44
Kennington Oval,2017-06-08,10:00,10:45,male,Sri Lanka,India,11-20,64
