venue,full_date,match_start_time_estimated,segment_start_time_estimated,gender,batting_team,bowling_team,over_range,total_runs,latitude,longitude,temperature_C,humidity_%,wind_speed_kmh,AQI
"MA Chidambaram Stadium, Chepauk",2011-03-20,10:00,12:15,male,West Indies,India,31-40,25,13.0627521,80.2784304,32.0,50.0,14.8,
"MA Chidambaram Stadium, Chepauk",2011-03-20,10:00,13:00,male,West Indies,India,41-50,9,13.0627521,80.2784304,32.0,50.0,14.8,
The Rose Bowl,2009-09-09,10:00,10:00,male,England,Australia,1-10,43,50.9237276,-1.3236178,15.4,66.0,17.1,22.0
The Rose Bowl,2009-09-09,10:00,10:45,male,England,Australia,11-20,44,50.9237276,-1.3236178,15.4,66.0,17.1,22.0
The Rose Bowl,2009-09-09,10:00,11:30,male,England,Australia,21-30,40,50.9237276,-1.3236178,15.4,66.0,17.1,22.0
The Rose Bowl,2009-09-09,10:00,12:15,male,England,Australia,31-40,45,50.9237276,-1.3236178,15.4,66.0,17.1,22.0
The Rose Bowl,2009-09-09,10:00,13:00,male,England,Australia,41-50,56,50.9237276,-1.3236178,15.4,66.0,17.1,22.0
The Rose Bowl,2009-09-09,10:00,10:00,male,Australia,England,1-10,29,50.9237276,-1.3236178,15.4,66.0,17.1,22.0
The Rose Bowl,2009-09-09,10:00,10:45,male,Australia,England,11-20,50,50.9237276,-1.3236178,15.4,66.0,17.1,22.0
The Rose Bowl,2009-09-09,10:00,11:30,male,Australia,England,21-30,36,50.9237276,-1.3236178,15.4,66.0,17.1,22.0
The Rose Bowl,2009-09-09,10:00,12:15,male,Australia,England,31-40,48,50.9237276,-1.3236178,15.4,66.0,17.1,22.0
The Rose Bowl,2009-09-09,10:00,13:00,male,Australia,England,41-50,67,50.9237276,-1.3236178,15.4,66.0,17.1,22.0
Kennington Oval,2017-06-08,10:00,10:00,male,India,Sri Lanka,1-10,48,-33.8725074,151.02235,13.0,96.0,11.6,35.0
Kennington Oval,2017-06-08,10:00,10:45,male,India,Sri Lanka,11-20,59,-33.8725074,151.02235,13.0,96.0,11.6,35.0
Kennington Oval,2017-06-08,10:00,11:30,male,India,Sri Lanka,21-30,62,-33.8725074,151.02235,13.0,96.0,11.6,35.0
Kennington Oval,2017-06-08,10:00,12:15,male,India,Sri Lanka,31-40,49,-33.8725074,151.02235,13.0,96.0,11.6,35.0
Kennington Oval,2017-06-08,10:00,13:00,male,India,Sri Lanka,41-50,103,-33.8725074,151.02235,13.0,96.0,11.6,35.0
Kennington Oval,2017-06-08,10:00,10:00,male,Sri Lanka,India,1-10,44,-33.8725074,151.02235,13.0,96.0,11.6,35.0
Kennington Oval,2017-06-08,10:00,10:45,male,Sri Lanka,India,11-20,64,-33.8725074,151.02235,13.0,96.0,11.6,35.0
Kennington Oval,2017-06-08,10:00,11:30,male,Sri Lanka,India,21-30,76,-33.8725074,151.02235,13.0,96.0,11.6,35.0
Kennington Oval,2017-06-08,10:00,12:15,male,Sri Lanka,India,31-40,63,-33.8725074,151.02235,13.0,96.0,11.6,35.0
Kennington Oval,2017-06-08,10:00,13:00,male,Sri Lanka,India,41-50,75,-33.8725074,151.02235,13.0,96.0,11.6,35.0
Kingsmead,2018-02-01,10:00,10:00,male,South Africa,India,1-10,49,53.2436546,-2.5188349,4.9,70.0,34.8,31.0
Kingsmead,2018-02-01,10:00,10:45,male,South Africa,India,11-20,50,53.2436546,-2.5188349,4.9,70.0,34.8,31.0
Kingsmead,2018-02-01,10:00,11:30,male,South Africa,India,21-30,39,53.2436546,-2.5188349,4.9,70.0,34.8,31.0
